"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-03",,"74","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-04",,"78","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-05",,"89","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-06",,"92","76",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-07",,"91","76",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-08",,"90","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-09",,"90","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-10",,"84","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-11",,"69","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-12",,"69","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-13",,"76","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-14",,"73","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-15",,"80","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-16",,"77","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-17",,"78","57",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-18",,"84","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-19",,"88","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-20",,"86","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-21",,"86","75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-22",,"78","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-23",,"76","55",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-24",,"77","61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-25",,"81","64",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-26",,"83","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-27",,"90","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-28",,"92","76",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-29",,"95","78",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-06-30",,"98","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-01",,"84","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-02",,"79","62",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-03",,"66","59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-04",,"79","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-05",,"83","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-06",,"92","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-07",,"91","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-08",,"84","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-09",,"85","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-10",,"81","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-11",,"78","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-12",,"86","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-13",,"72","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-14",,"87","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-15",,"89","74",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-16",,"91","79",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-17",,"91","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-18",,"84","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-19",,"81","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-20",,"86","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-21",,"80","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-22",,"81","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-23",,"83","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-24",,"84","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-25",,"83","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-26",,"88","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-27",,"89","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-28",,"81","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-29",,"77","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-30",,"82","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-07-31",,"77","60",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-01",,"77","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-02",,"80","63",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-03",,"79","65",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-04",,"76","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-05",,"81","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-06",,"88","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-07",,"87","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-08",,"77","66",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-09",,"81","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-10",,"84","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-11",,"89","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-12",,"93","74",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-13",,"94","78",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-14",,"88","76",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-15",,"83","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-16",,"83","69",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-17",,"81","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-18",,"83","74",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-19",,"85","75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-20",,"82","75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-21",,"82","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-22",,"76","70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-23",,"83","71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-24",,"89","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-25",,"91","72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-26",,"91","78",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-27",,"93","75",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-28",,"80","68",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-29",,"76","67",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-30",,"85","73",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-08-31",,"83","73",
